name_last,name_first,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs
Jennings,Thurman,820802.0,jennt101,jennith01,jennin000thu,nan
Coleman,Jerry,112475.0,colej106,colemje01,colema003ger,1002423
Laudner,Tim,117537.0,laudt001,laudnti01,laudne001tim,1007381
Nears,Henry,817990.0,nearh101,nearshe01,nears-000hen,nan
Steels,James,122710.0,steej001,steelji01,steels001jam,1012453
Otero,Dan,519096.0,oterd001,oteroda01,otero-001dan,7385
Margoneri,Joe,118282.0,margj101,margojo01,margon001jos,1008105
Assad,Javier,665871.0,assaj001,assadja01,assad-000jav,21741
Cheadle,Dave,112224.0,chead101,cheadda01,cheadl001dav,1002170
Johnson,Adam,407053.0,johna001,johnsad01,johnso001ada,733
Plawecki,Kevin,608700.0,plawk001,plaweke01,plawec000kev,13807
Smith,Dave,122370.0,smitd105,smithda01,smith-022dav,1012116
Barry,John,110634.0,barrs101,barrysh01,barry-002joh,1000619
Keenan,Jimmie,116898.0,keenj103,keenaji02,keenan002jam,1006750
Holbert,Aaron,116058.0,holba001,holbeaa01,holber001aar,1960
Face,,819595.0,faceu101,face02,face--000---,nan
Kuhel,Joe,117356.0,kuhej101,kuheljo01,kuhel-001jos,1007202
Duncan,Frank,819686.0,duncf101,duncafr01,duncan002fra,nan
Knox,Cliff,117215.0,knoxc101,knoxcl01,knox--001cli,1007062
Daniels,Jack,113038.0,danij102,danieja02,daniel001har,1002972
De Paula,Julio,451546.0,depaj003,depauju01,depaul001jul,2786
Chourio,Jackson,694192.0,chouj001,chourja01,chouri000jac,28806
Hovlik,Joe,116196.0,hovlj101,hovlijo01,hovlik001jos,1006070
Slusarski,Joe,122330.0,slusj001,slusajo01,slusar001jos,1012071
Bottalico,Ricky,111262.0,bottr001,bottari01,bottal001ric,948
Campero,Gustavo,672569.0,campg001,campegu01,camper000gus,nan
Miles,Jim,119051.0,milej101,milesji01,miles-002jam,1008863
Ynoa,Rafael,501255.0,ynoar001,ynoara01,ynoa--001raf,2832
Dewitt,Samuel,819779.0,dewis101,dewitsa01,dewitt000sam,nan
Baker,Del,110468.0,baked102,bakerde01,baker-001del,1000448
Chris,Mike,112260.0,chrim101,chrismi01,chris-001mic,1002219
Despaigne,Odrisamer,628333.0,despo001,despaod01,despai000odr,16017
Ross,Dick,817434.0,rossd102,rossdi01,ross--000dic,nan
Cassady,Harry,112096.0,cassh101,cassaha01,cassad001har,1002049
Ragland,Frank,120887.0,raglf101,raglafr01,raglan001fra,1010651
Mitchell,Dale,119197.0,mitcd101,mitchda01,mitche001lor,1009000
Murakami,Masanori,119534.0,muram101,murakma01,muraka001mas,1009336
Wortman,Chuck,124587.0,wortc101,wortmch01,wortma001wil,1014265
McFarland,Howie,118676.0,mcfah101,mcfarho01,mcfarl001how,1008493
Ripley,Allen,121224.0,ripla101,ripleal01,ripley001all,1010979
Hudler,Rex,116258.0,hudlr001,hudlere01,hudler001rex,1006131
Carroll,Brett,448276.0,carrb001,carrobr01,carrol001bre,8066
Lewallyn,Dennis,117727.0,lewad101,lewalde01,lewall001den,1007572
Figueroa,Bien,114115.0,figub001,figuebi01,figuer001bie,1004036
Parker,Clay,120230.0,parkc001,parkecl01,parker004jam,1009999
Jacobsen,Bucky,430944.0,jacob002,jacobbu02,jacobs001lar,2368
Harmon,Bob,115485.0,harmb101,harmobo01,harmon004rob,1005371
Smith,,817226.0,,smith18,smith-387---,nan
Cruz,Henry,112900.0,cruzh102,cruzhe02,cruz--001hen,1002840
Nava,Daniel,537953.0,navad002,navada01,nava--001dan,5450
Tannehill,Jesse,123086.0,tannj101,tanneje01,tanneh001jes,1012822
Greer,Rusty,115114.0,greer001,greerru01,greer-001thu,1252
Glanville,Doug,114844.0,gland001,glanvdo01,glanvi001dou,956
Milligan,John,119136.0,millj108,millijo01,millig001joc,1008944
Schuster,Patrick,572119.0,schup001,schuspa01,schust001pat,10029
Killian,Ed,117057.0,kille101,killied01,killia001edw,1006908
Turnbow,Derrick,276913.0,turnd001,turnbde01,turnbo001tho,1694
Hassan,Alex,572910.0,hassa002,hassaal01,hassan001ale,9959
Cheek,Harry,112227.0,cheeh101,cheekha01,cheek-001har,1002173
